Name,Time,Priority,Index
EnvironmentUpdate,59250,0.8333333333333334,132
EnvironmentIdle,59250,0.8333333333333334,133
VehicleArrival,59300,0.8333333333333334,108
VehicleWaiting,59300,0.8571428571428572,134
VehicleBoarding,59300,0.8571428571428572,136
PassengerToBoard,59300,0.8333333333333334,137
VehicleBoarded,59300,0.8333333333333334,138
VehicleWaiting,59300,0.8571428571428572,139
Vehicle Departure,59300,0.8333333333333334,140
Optimize,59300,0.875,135
EnvironmentUpdate,59300,0.8333333333333334,142
EnvironmentIdle,59300,0.8333333333333334,143
VehicleArrival,59580,0.8333333333333334,131
VehicleWaiting,59580,0.8571428571428572,145
VehicleComplete,59580,0.875,144
Optimize,59580,0.875,146
EnvironmentUpdate,59580,0.8333333333333334,147
EnvironmentIdle,59580,0.8333333333333334,148
VehicleArrival,59620,0.8333333333333334,141
PassengerAlighting,59620,0.8333333333333334,149
VehicleAlighted,59620,0.8333333333333334,150
VehicleWaiting,59620,0.8571428571428572,151
Optimize,59620,0.875,152
EnvironmentUpdate,59620,0.8333333333333334,154
EnvironmentIdle,59620,0.8333333333333334,155
VehicleWaiting,59640,0.8571428571428572,153
Vehicle Departure,59640,0.8333333333333334,157
Optimize,59640,0.875,156
EnvironmentUpdate,59640,0.8333333333333334,159
EnvironmentIdle,59640,0.8333333333333334,160
VehicleWaiting,59700,0.8571428571428572,98
VehicleBoarding,59700,0.8571428571428572,162
PassengerToBoard,59700,0.8333333333333334,163
VehicleBoarded,59700,0.8333333333333334,164
VehicleWaiting,59700,0.8571428571428572,165
Vehicle Departure,59700,0.8333333333333334,166
Optimize,59700,0.875,161
EnvironmentUpdate,59700,0.8333333333333334,168
EnvironmentIdle,59700,0.8333333333333334,169
VehicleArrival,59940,0.8333333333333334,158
PassengerAlighting,59940,0.8333333333333334,171
VehicleAlighted,59940,0.8333333333333334,172
VehicleWaiting,59940,0.8571428571428572,173
VehicleComplete,59940,0.875,170
Optimize,59940,0.875,174
EnvironmentUpdate,59940,0.8333333333333334,175
EnvironmentIdle,59940,0.8333333333333334,176
VehicleArrival,60010,0.8333333333333334,167
VehicleWaiting,60010,0.8571428571428572,177
Vehicle Departure,60010,0.8333333333333334,179
Optimize,60010,0.875,178
EnvironmentUpdate,60010,0.8333333333333334,181
EnvironmentIdle,60010,0.8333333333333334,182
RecurrentTimeSyncEvent,60300,0.999000999000999,14
VehicleArrival,60340,0.8333333333333334,180
PassengerAlighting,60340,0.8333333333333334,184
VehicleAlighted,60340,0.8333333333333334,185
VehicleWaiting,60340,0.8571428571428572,186
Vehicle Departure,60340,0.8333333333333334,188
Optimize,60340,0.875,187
EnvironmentUpdate,60340,0.8333333333333334,190
EnvironmentIdle,60340,0.8333333333333334,191
VehicleArrival,60640,0.8333333333333334,189
VehicleWaiting,60640,0.8571428571428572,193
VehicleComplete,60640,0.875,192
Optimize,60640,0.875,194
EnvironmentUpdate,60640,0.8333333333333334,195
EnvironmentIdle,60640,0.8333333333333334,196
RecurrentTimeSyncEvent,63900,0.999000999000999,183
